timestamp,gender,age,education_level,occupation,dna_knowledge,dna_info_source,support_national_dna_db_bf,dna_db_custodian_bf,dna_db_inclusion_criteria,include_crime_scene_profiles,offense_type_dna_recording,dna_storage_duration,dna_use_family_research,dna_use_disaster_research,dna_use_interpol_cooperation,dna_use_terrorism_fight,privacy_invasion_opinion,voluntary_dna_donation,privacy_risk_concern,database_misuse_concern,dna_use_in_investigations,police_lab_support_need,forensic_dna_private_sector,forensic_dna_autonomous_institution,message_to_investigators
2/23/2021 6:15,Female,16-35,PhD,Students,Yes,"The media (TV news, radio, documentaries)",Important,Ministry of Justice,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,No,"Yes, but under certain conditions",Minor concerns,Important concerns,Yes,Yes,No,Yes,"I find the genetic database (DNA) initiative very good, I hope it will be effective"
2/23/2021 6:16,Male,16-35,University,Others,I don't know,Others,Important,An autonomous institution,Entire population of Burkina Faso,Yes,Serious crimes only,Until the death of the condemned,I don't know,I don't know,No I do not agree,Yes I agree,Yes,Maybe,Important concerns,Important concerns,Yes,Yes,No,Yes, All my encouragement
2/23/2021 7:07,Male,16-35,University,Students,Yes,During my studies (secondary and/or higher),Important,An autonomous institution,Entire population of Burkina Faso,No,All crimes,Until the death of the condemned,Yes I agree,Yes I agree,yes I agree but in certain circumstances,Yes I agree,No,"Yes, but under certain conditions",Minor concerns,Important concerns,No,Yes,No,Yes,Courage. A DNA database in Burkina seemed utopian a few years ago. I hope that this will not remain a project but will be carried out in the short term and will work effectively with efficient means...
2/23/2021 7:33,Female,16-35,PhD,Students,Yes,Fiction films,Important,An autonomous institution,Entire population of Burkina Faso,Yes,All crimes and offenses,Until the death of the condemned,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,Minor concerns,No,Yes,No,Yes," Thanks to them. And really if they manage to put this project in place, they will succeed on the one hand in reducing crime in Burkina Faso, and on the other hand we will be boosted internationally... Good luck and good luck because the path is long and spiny."
2/23/2021 7:40,Male,16-35,University,Students,Yes,During my studies (secondary and/or higher),Important,Ministry of Justice,"Convicts, suspects and volunteers",No,All crimes and offenses,Until acquittal,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Maybe,Maybe,Important concerns,Minor concerns,Maybe,Yes,No,No,"To strengthen their capacity for action, the scientific police could recruit experts in the field. The management of the national file should be well thought out to avoid as much as possible the unhealthy uses that could arise."
2/23/2021 7:51,Male,16-35,University,Students,Yes,"The media (TV news, radio, documentaries)",Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,"Yes, but under certain conditions",No problem,Important concerns,No,Yes,No,Yes, A lot of courage.
2/23/2021 7:54,Male,16-35,University,Students,Yes,During my studies (secondary and/or higher),Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,Minor concerns,Important concerns,No,Yes,Yes,No, Courage to you
2/23/2021 7:55,Male,16-35,University,Ministry responsible for security,Yes,Reading (newspapers and scientific documents),Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,"Yes, I agree but in certain circumstances","Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,No,Yes,am indifferent,No problem,No,Yes,No,No,A very good thing. What is urgent in Burkina is the establishment of a laboratory well equipped with the latest generation equipment to allow the technical and scientific police service to do the job well. They produce results despite their limited means. Also support through the application of the 2017 decree concerning services to provide a breath of relief for the agents who are in this service and who frequently risk death through their presence at crime scenes. I have too much to say but not here. My box remains available for further clarifications
2/23/2021 8:09,Female,16-35,University,Students,No,Others,Important,Ministry of Justice,Condemned,Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,Minor concerns,Yes,Yes,No,Yes,I think that this is a good initiative
2/23/2021 8:10,Male,16-35,PhD,Students,Yes,"The media (TV news, radio, documentaries)",Not very important,An autonomous institution,Entire population of Burkina Faso,Yes,All crimes and offenses,Until the death of the condemned,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Yes,Yes,Important concerns,Important concerns,No,Yes,No,Yes,My encouragement for these very positive innovations
2/23/2021 9:22,Male,35-60,University,Others,I am not sure,During my studies (secondary and/or higher),Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,Important concerns,Important concerns,Yes,Yes,No,No,Good idea for advanced
2/23/2021 9:31,Male,16-35,PhD,Students,Yes,During my studies (secondary and/or higher),Important,An autonomous institution,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Until the death of the condemned,"Yes, I agree but in certain circumstances","Yes, I agree but in certain circumstances",I don't know,Yes I agree,Maybe,"Yes, but under certain conditions",Minor concerns,Minor concerns,No,Yes,Maybe,Yes,"I think it's a great initiative to collect people's opinions to get an idea of what they think about the creation of a DNA database and to use it in resolving certain cases. I take the case of Burkina Faso which is a country thirsting for justice, which would allow it to resolve certain crimes and above all to stop dismissing cases in order to relax the social climate..."
2/23/2021 9:45,Male,16-35,University,Ministry of Justice,Yes,"The media (TV news, radio, documentaries)",Important,An autonomous institution,"Convicts, suspects and volunteers",Yes,Serious crimes only,Indefinitely,No I do not agree,Yes I agree,yes I agree but in certain circumstances,Yes I agree,Yes,"Yes, but under certain conditions",Minor concerns,Important concerns,No,Yes,Yes,No, Congratulations.
2/23/2021 10:04,Male,16-35,PhD,Students,Yes,During my studies (secondary and/or higher),Important,Ministry of Justice,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Until the death of the condemned,"Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,Yes I agree,No,Yes,Important concerns,Important concerns,Yes,Yes,No,No,"Courage, let this be a reality in Burkina Faso"
2/23/2021 10:16,Female,35-60,PhD,Ministry of Higher Education and Scientific Research,Yes,Fiction films,Important,An autonomous institution,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Until the death of the condemned,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,Minor concerns,Minor concerns,No,No,Yes,Yes, Congratulations ! It's time for a genetic database.
2/23/2021 10:38,Male,16-35,Secondary,Ministry responsible for security,Yes,Fiction films,Important,The national police and gendarmerie services,Condemned,No,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Maybe,"Yes, but under certain conditions",Important concerns,Important concerns,No,Yes,No,No,"Congratulations on the project, for the commitment and thank you for thinking about public opinion! You will go far!"
2/23/2021 11:08,Male,35-60,University,Others,Yes,"The media (TV news, radio, documentaries)",Important,Ministry of Justice,"Convicts, suspects and volunteers",Yes,All crimes,Indefinitely,"Yes, I agree but in certain circumstances","Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,No,Yes,I have no response,Minor concerns,Yes,Yes,No,Yes,"Lots of courage, this would be a big step forward for our country"
2/23/2021 11:39,Female,16-35,University,Students,Yes,Fiction films,Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,I don't know,I don't know,Yes I agree,Yes I agree,No,Yes,Important concerns,Important concerns,Yes,Yes,Yes,Yes,
2/23/2021 11:45,Male,16-35,University,Students,Yes,Fiction films,Important,Ministry of Justice,Convicts and suspects,am indifferent,All crimes,Indefinitely,I don't know,Yes I agree,Yes I agree,Yes I agree,Maybe,"Yes, but under certain conditions",Important concerns,Minor concerns,Maybe,Yes,No,Yes, very good initiative which will facilitate the work of the justice system as well as the police
2/23/2021 11:48,Male,16-35,University,Students,Yes,During my studies (secondary and/or higher),Important,An autonomous institution,"Convicts, suspects and volunteers",Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,yes I agree but in certain circumstances,Yes I agree,Maybe,"Yes, but under certain conditions",Minor concerns,Minor concerns,Yes,Yes,No,Yes,"- My encouragement; - My availability for a possible questionnaire if necessary, - My main concern: management of the database."
2/23/2021 11:51,Female,16-35,PhD,Others,Yes,"The media (TV news, radio, documentaries)",Important,The national police and gendarmerie services,Condemned,Yes,Serious crimes only,Until the death of the condemned,Yes I agree,Yes I agree,No I do not agree,Yes I agree,No,Yes,No problem,Minor concerns,Maybe,Yes,No,I don't know, A very good initiative which will allow us to have the opinion of a large number of people and will allow decisions to be made.
2/23/2021 11:51,Female,16-35,PhD,Ministry of Higher Education and Scientific Research,I am not sure,"The media (TV news, radio, documentaries)",Important,Ministry of Justice,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Maybe,"Yes, but under certain conditions",Important concerns,Important concerns,I don't know,Yes,I don't know,Maybe,
2/23/2021 12:11,Female,35-60,PhD,Students,Yes,"The media (TV news, radio, documentaries)",Important,Ministry of Justice,Convicts and suspects,am indifferent,All crimes,Indefinitely,Yes I agree,I don't know,I don't know,Yes I agree,Maybe,Yes,Minor concerns,Important concerns,Yes,Yes,I don't know,I don't know,Good initiative. Good luck
2/23/2021 12:18,Female,16-35,University,Students,Yes,Fiction films,Important,Ministry of Justice,Convicts and suspects,am indifferent,All crimes,Until the death of the condemned,"Yes, I agree but in certain circumstances","Yes, I agree but in certain circumstances",I don't know,Yes I agree,No,Yes,No problem,Important concerns,No,Yes,No,Yes, Good luck to you
2/23/2021 12:29,Male,35-60,PhD,Ministry of Higher Education and Scientific Research,Yes,During my studies (secondary and/or higher),Important,The national police and gendarmerie services,"Convicts, suspects and volunteers",No,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Yes,"Yes, but under certain conditions",Important concerns,Important concerns,No,Yes,No,No,To carry out an in-depth study
2/23/2021 12:31,Male,16-35,University,Others,No,Fiction films,Important,Others,Convicts and suspects,Yes,All crimes,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,Yes I agree,Yes,Yes,Important concerns,Important concerns,I don't know,Yes,Maybe,No,
2/23/2021 12:59,Male,35-60,PhD,Others,Yes,Reading (newspapers and scientific documents),Important,The national police and gendarmerie services,Convicts and suspects,Yes,All crimes and offenses,Until acquittal,"Yes, I agree but in certain circumstances","Yes, I agree but in certain circumstances",yes I agree but in certain circumstances,Yes I agree,No,"Yes, but under certain conditions",Minor concerns,Important concerns,Yes,Yes,Maybe,No,RAS
2/23/2021 13:00,Female,35-60,PhD,Ministry of Higher Education and Scientific Research,No,"The media (TV news, radio, documentaries)",Important,An autonomous institution,Convicts and suspects,Yes,All crimes and offenses,Until the death of the condemned,"Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,Yes I agree,No,"Yes, but under certain conditions",Minor concerns,Important concerns,Maybe,Yes,No,Yes,Interesting subject. Curious to know the results.
2/23/2021 13:51,Male,16-35,University,Others,Yes,"The media (TV news, radio, documentaries)",Important,An autonomous institution,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,Yes I agree,No,"Yes, but under certain conditions",am indifferent,Important concerns,Maybe,Yes,Maybe,Yes,Congratulations
2/23/2021 14:50,Male,35-60,PhD,Others,Yes,"The media (TV news, radio, documentaries)",Important,Ministry of Justice,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,yes I agree but in certain circumstances,Yes I agree,No,Yes,am indifferent,Important concerns,I don't know,Yes,No,Maybe,
2/23/2021 14:51,Male,35-60,PhD,Ministry of Higher Education and Scientific Research,Yes,"The media (TV news, radio, documentaries)",Important,An autonomous institution,Convicts and suspects,Yes,All crimes and offenses,Until the death of the condemned,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,Maybe,Maybe,Important concerns,Important concerns,No,No,No,Yes, This is a very important investigation but the management of personal and genetic data is a fairly sensitive issue which deserves supervision taking into account the rights and duties of the people involved.
2/23/2021 14:53,Male,16-35,University,Others,Yes,Fiction films,Important,Ministry of Justice,Condemned,Yes,All crimes,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,Yes I agree,Yes,Maybe,Important concerns,Important concerns,No,Yes,No,No,
2/23/2021 14:55,Male,16-35,University,Students,Yes,During my studies (secondary and/or higher),Important,An autonomous institution,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,Yes,No,Minor concerns,Minor concerns,Yes,Yes,No,Yes,think it would be a big step forward for the security services to establish a forensic police in the country. This could be beneficial for resolving certain investigations and clarifying certain obscure situations. This could help avoid the conviction of innocent people. This will also promote justice which is an element of the country's motto.
2/23/2021 14:56,Male,16-35,University,Students,No,Others,Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,Important concerns,I don't know,Yes,No,No, I am delighted with this initiative. Good luck to you
2/23/2021 15:02,Male,35-60,PhD,Others,Yes,Reading (newspapers and scientific documents),Important,Ministry responsible for security,"Convicts, suspects and volunteers",am indifferent,Serious crimes only,Until acquittal,"Yes, I agree but in certain circumstances",Yes I agree,I don't know,Yes I agree,Maybe,"Yes, but under certain conditions",Important concerns,Important concerns,No,Maybe,I don't know,Yes, THANKS.
2/23/2021 15:14,Female,35-60,PhD,Ministry of Higher Education and Scientific Research,Yes,Fiction films,Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,No I do not agree,Yes I agree,Maybe,Yes,Minor concerns,Important concerns,Yes,Yes,No,Yes,
2/23/2021 15:25,Female,16-35,University,Others,No,Fiction films,Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,Serious crimes only,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,Minor concerns,Important concerns,Yes,Yes,Maybe,Yes,"Choose worthy people I trust, and especially people who love their job and especially pay for the goods so that they are not tempted by corruption."
2/23/2021 15:29,Female,16-35,University,Students,Yes,"The media (TV news, radio, documentaries)",Ineffective,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Maybe,Yes,Minor concerns,Indifferent,I don't know,Yes,No,No, This is a good initiative and we should put in place the necessary means to encourage and convince people to register on the database.
2/23/2021 15:32,Female,16-35,PhD,Ministry of Higher Education and Scientific Research,Yes,During my studies (secondary and/or higher),Important,Ministry responsible for security,Convicts and suspects,Yes,All crimes and offenses,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,No,"Yes, but under certain conditions",Minor concerns,Minor concerns,Yes,Yes,No,No,great initiative
2/23/2021 15:58,Male,>60,University,Others,No,Others,Not very important,The national police and gendarmerie services,Condemned,Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,yes I agree but in certain circumstances,Yes I agree,Maybe,No,Minor concerns,Important concerns,No,Yes,No,Yes,"My encouragement for prospecting in this area, a sign of evolution"
2/23/2021 17:15,Male,16-35,University,Others,Yes,During my studies (secondary and/or higher),Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,Minor concerns,Yes,Yes,No,Yes,This is a very nice initiative. Congratulations
2/23/2021 17:18,Male,16-35,University,Students,Yes,Fiction films,Important,Ministry responsible for security,Entire population of Burkina Faso,am indifferent,Serious crimes only,Until the death of the condemned,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,am indifferent,Important concerns,No,Yes,Yes,No,It's a good project. We can't wait to see him in Burkina Faso
2/23/2021 17:59,Male,16-35,PhD,Ministry of Higher Education and Scientific Research,Yes,"The media (TV news, radio, documentaries)",Important,An autonomous institution,Condemned,No,Serious crimes only,Until the death of the condemned,"Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,Yes I agree,Maybe,"Yes, but under certain conditions",Minor concerns,Important concerns,No,Yes,No,Yes,Courage
2/23/2021 17:59,Male,16-35,University,Others,I don't know,Fiction films,Not very important,The national police and gendarmerie services,Entire population of Burkina Faso,I don't know,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Maybe,"Yes, but under certain conditions",Important concerns,Important concerns,I don't know,Yes,No,Yes,"Great initiative. But I think we should develop other essential sectors: health, modernize agriculture, industrialize. Burkina is a poor country and organized crime is not common.... Kind regards"
2/23/2021 19:23,Male,35-60,PhD,Ministry of Higher Education and Scientific Research,Yes,"The media (TV news, radio, documentaries)",Important,An autonomous institution,Convicts and suspects,Yes,All crimes,Indefinitely,"Yes, I agree but in certain circumstances","Yes, I agree but in certain circumstances",yes I agree but in certain circumstances,yes I agree but in certain circumstances,Maybe,"Yes, but under certain conditions",Minor concerns,Important concerns,I don't know,Yes,Maybe,Yes,Ras
2/23/2021 19:34,Male,35-60,PhD,Ministry of Higher Education and Scientific Research,Yes,During my studies (secondary and/or higher),Important,Others,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Indefinitely,"Yes, I agree but in certain circumstances","Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,No,"Yes, but under certain conditions",Minor concerns,Minor concerns,Maybe,Yes,No,Yes,
2/23/2021 20:11,Female,16-35,University,Students,Yes,"The media (TV news, radio, documentaries)",Important,An autonomous institution,Convicts and suspects,Yes,All crimes and offenses,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,No,Yes,Minor concerns,Minor concerns,I don't know,Yes,Maybe,Yes,Great initiative!! This could be a solution in the fight against crime and develop forensic medicine in Burkina Faso.
2/23/2021 20:33,Female,16-35,University,Students,No,Others,Important,An autonomous institution,Condemned,Yes,All crimes,Until acquittal,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,No,Important concerns,Important concerns,Yes,Yes,No,Yes,
2/23/2021 20:36,Male,16-35,PhD,Others,No,"The media (TV news, radio, documentaries)",Important,Ministry responsible for security,Entire population of Burkina Faso,am indifferent,All crimes and offenses,Until the death of the condemned,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Maybe,Maybe,I don't know,Important concerns,I don't know,Yes,Yes,No,
2/23/2021 20:43,Male,35-60,University,Ministry responsible for security,No,During my studies (secondary and/or higher),Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,"Yes, I agree but in certain circumstances","Yes, I agree but in certain circumstances",yes I agree but in certain circumstances,yes I agree but in certain circumstances,No,Yes,No problem,Important concerns,No,Yes,No,No,I can't wait for this investigation to be taken into account for an effective fight against organized crime.
2/23/2021 21:09,Female,16-35,University,Students,Yes,Fiction films,Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,I don't know,I don't know,Yes I agree,I don't know,No,Yes,No problem,Minor concerns,Yes,Yes,I don't know,No," If this were to happen here in Burkina, it would be a huge factor against the crimes we face on a daily basis! it was a pleasure"
2/23/2021 22:07,Male,35-60,University,Others,Yes,During my studies (secondary and/or higher),Important,An autonomous institution,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Until acquittal,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,No,"Yes, but under certain conditions",Minor concerns,Minor concerns,Yes,Yes,No,Yes,Its implementation must be governed by legal texts and the staff must be very well trained and well equipped on an ethical level.
2/24/2021 1:43,Male,16-35,PhD,Ministry responsible for security,Yes,During my studies (secondary and/or higher),Important,Ministry responsible for security,Condemned,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,Minor concerns,Minor concerns,No,Yes,Yes,No,"Good initiative, I hope that such projects see the light of day in Burkina Faso to strengthen criminal investigations."
2/24/2021 2:21,Male,35-60,University,Others,I am not sure,Fiction films,Important,An autonomous institution,Convicts and suspects,Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,No problem,No,Yes,No,Yes, A great initiative. This is a solution that will solve a lot of problems. All my encouragement for the realization of this noble and salutary project.
2/24/2021 4:03,Female,35-60,University,Ministry of Higher Education and Scientific Research,I am not sure,During my studies (secondary and/or higher),Important,An autonomous institution,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Until the death of the condemned,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Maybe,I have no response,Minor concerns,Yes,No,No,Yes, May the results of this survey be used by decision-makers in our country
2/24/2021 5:36,Male,35-60,PhD,Others,Yes,Reading (newspapers and scientific documents),Important,An autonomous institution,"Convicts, suspects and volunteers",No,Serious crimes only,Until acquittal,"Yes, I agree but in certain circumstances","Yes, I agree but in certain circumstances",yes I agree but in certain circumstances,Yes I agree,No,Yes,Minor concerns,Important concerns,No,Yes,No,Yes, Good initiative and above all courage.
2/24/2021 9:38,Male,16-35,PhD,Students,Yes,Fiction films,Important,An autonomous institution,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,yes I agree but in certain circumstances,Yes I agree,No,Yes,Important concerns,Important concerns,Maybe,Yes,No,Yes," agree with the creation of a DNA database of the population of Burkina for several reasons 1. Terrorism: this will make it possible to identify terrorists and their accomplices 2. Rape: the tests will make it possible to find the perpetrators of the crimes 3. Identification of a person: many children will be able to find their families However, care must be taken in the use of this database for several reasons 1. Corruption within the police and of the gendarmerie can lead them to sell the information internationally 2. Cybercrime: we must protect data from cybercriminals given that the services will be interconnected I have particular remarks 1. We must provide structures such as the police and the state-of-the-art laboratory gendarmerie 2. The police and gendarmerie buildings are in a lamentable state. I hope that the government must take its responsibilities to build premises for our valiant defense and security forces to guarantee security and their well-being."
2/24/2021 10:24,Male,35-60,Secondary,Others,I am not sure,Reading (newspapers and scientific documents),Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,All crimes and offenses,Until acquittal,"Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,Yes I agree,No,Yes,Minor concerns,Important concerns,Maybe,Yes,Maybe,Yes,Encourage initiatives and that this
2/24/2021 10:38,Male,35-60,University,Others,I am not sure,Others,Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,No,Yes,Minor concerns,Important concerns,No,Yes,No,No,The investigation is of quality
2/24/2021 10:41,Male,16-35,University,Others,No,Fiction films,Important,An autonomous institution,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,Minor concerns,No,Yes,No,Yes,
2/24/2021 10:43,Male,35-60,Secondary,Ministry of Justice,No,"The media (TV news, radio, documentaries)",Important,An autonomous institution,Entire population of Burkina Faso,No,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Yes,Yes,Minor concerns,Important concerns,No,Yes,No,Yes,Lots of courage and audacity for the successful completion of this very important project in the fight against crime.
2/24/2021 10:43,Male,35-60,University,Ministry of Justice,Yes,During my studies (secondary and/or higher),Important,Ministry of Justice,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,"Yes, I agree but in certain circumstances","Yes, I agree but in certain circumstances",yes I agree but in certain circumstances,yes I agree but in certain circumstances,Maybe,Yes,Minor concerns,Important concerns,Maybe,Yes,No,Yes, My fraternal greetings and all my sincere encouragement for the good continuation of this noble project with multiple interests
2/24/2021 11:05,Female,16-35,University,Ministry responsible for security,Yes,"The media (TV news, radio, documentaries)",Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,Minor concerns,Maybe,Yes,No,Yes,Very nice initiative to be welcomed. Good luck for the future !
2/24/2021 11:18,Male,16-35,University,Students,No,Others,Important,Ministry responsible for security,Condemned,Yes,All crimes and offenses,Until the death of the condemned,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Maybe,Maybe,I have no response,No answer,Maybe,Maybe,Maybe,Maybe,
2/24/2021 12:15,Male,16-35,University,Ministry responsible for security,Yes,During my studies (secondary and/or higher),Important,Ministry responsible for security,Convicts and suspects,Yes,All crimes and offenses,Until the death of the condemned,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,Maybe,"Yes, but under certain conditions",Important concerns,Important concerns,I don't know,Yes,Maybe,Maybe, Good luck
2/24/2021 12:32,Female,35-60,University,Students,Yes,During my studies (secondary and/or higher),Ineffective,An autonomous institution,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Indefinitely,"Yes, I agree but in certain circumstances",I don't know,No I do not agree,I don't know,Maybe,Maybe,Important concerns,Important concerns,Yes,Yes,Yes,No,"Thank you for this great initiative, may it be used for a good cause."
2/24/2021 12:55,Male,16-35,Secondary,Ministry of Justice,Yes,"The media (TV news, radio, documentaries)",Important,Ministry of Justice,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,Important concerns,Important concerns,Maybe,Yes,No,No,I would like to congratulate the initiators and encourage them to persevere in the vision
2/24/2021 13:04,Female,16-35,University,Others,No,Fiction films,Important,An autonomous institution,"Convicts, suspects and volunteers",I don't know,All crimes,Indefinitely,I don't know,Yes I agree,Yes I agree,Yes I agree,No,Yes,I don't know,Important concerns,Yes,Yes,No,Yes,
2/24/2021 13:25,Male,35-60,University,Students,Yes,During my studies (secondary and/or higher),Important,An autonomous institution,Condemned,Yes,All crimes,Until the death of the condemned,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,Maybe,Maybe,Minor concerns,Important concerns,Yes,Maybe,No,Yes,My encouragement. The establishment of an autonomous and sworn state institution to manage the issue
2/24/2021 13:54,Female,35-60,PhD,Ministry of Higher Education and Scientific Research,No,Others,Important,Others,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,yes I agree but in certain circumstances,Yes I agree,Maybe,Yes,No problem,Important concerns,Yes,Maybe,No,Yes,Great initiative!!
2/24/2021 14:04,Male,35-60,PhD,Ministry of Higher Education and Scientific Research,No,Others,Not very important,Ministry responsible for security,Convicts and suspects,Yes,All crimes,No answer,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,Important concerns,No,Yes,No,Yes," Encouragement and above all that the study is even carried out with rigor. If this base is established, people of very good moral character should be made responsible for its management to avoid partial exploitation."
2/24/2021 15:22,Male,16-35,Secondary,Ministry responsible for security,Yes,Others,Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,"Yes, I agree but in certain circumstances",I don't know,Yes I agree,Yes I agree,No,Yes,No problem,No problem,No,Yes,No,Maybe,Good luck. I hope this Vera DNA database project comes to fruition as soon as possible. This would greatly help the FDS in their various investigations.
2/24/2021 15:33,Male,16-35,University,Ministry responsible for security,Yes,During my studies (secondary and/or higher),Important,The national police and gendarmerie services,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Until the death of the condemned,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Maybe,"Yes, but under certain conditions",Important concerns,Important concerns,No,No,Maybe,I don't know,
